gen,id,enemies,best_fit,mean_fit,std_fit
0,0,12345,0.9999985809397498,-0.0022644175496584593,0.5783804005969841
1,0,12345,0.9999985809397498,-0.003078750381048809,0.5800625263758585
2,0,12345,0.9999985809397498,-0.008198016636883557,0.5782636024514451
0,10,43,0.9996397148310168,-0.006010782418871406,0.5826573950438678
0,11,53,0.9999985809397498,-0.012899115906090821,0.5754878956148093
1,10,43,0.9996397148310168,-0.0012584047601440658,0.5823090793844373
1,11,53,0.9999985809397498,-0.012877220353381217,0.5785790709085794
2,10,43,0.9996397148310168,0.0017334776185441339,0.582014045154206
2,11,53,0.9999985809397498,-0.020183323032755454,0.5755691312636027
3,10,43,0.9985980602255984,0.0015253841949355322,0.5803663723209311
3,11,53,0.9999985809397498,-0.024640916197304224,0.5739029042299952
4,10,43,0.9985980602255984,-0.003804770150101568,0.5752014212370525
4,11,53,0.9999985809397498,-0.01737360714794621,0.5757561355448013
0,2,12345,0.9999985809397498,-0.009831495342083788,0.5743760612688762
1,2,12345,0.9999985809397498,-0.0052740239782617365,0.5762492432267006
2,2,12345,0.9999985809397498,-0.0015605836173058368,0.5783703500742996
