gen,id,enemies,best_fit,mean_fit,std_fit
0,start,1347,14.660348779955935,-4.806382354797021,4.502600041003571
1,start,1347,16.25968713934187,-4.738053193133623,4.66789539249752
2,start,1347,16.25968713934187,-4.276261866064555,5.33741560921401
3,start,1347,17.556216575543264,-3.612847864479252,5.9795535428125595
4,start,1347,17.56887377227464,-2.767614667926291,6.681063028883088
5,start,1347,19.89283637212862,-2.433965310649585,6.8349455918156306
6,start,1347,19.89283637212862,-1.3940951654116274,7.570938340309534
7,start,1347,20.189592985108415,-1.5059704727071344,6.867725895602108
8,start,1347,20.189592985108415,-0.2682686954558703,8.387049307534504
9,start,1347,20.189592985108415,0.38088261635932524,8.886620609276056
10,start,1347,21.966342895182535,2.8064554154848276,9.476542119298852
11,start,1347,21.966342895182535,3.22579720272574,9.631925746654568
12,start,1347,22.271067872791882,3.571242663470364,9.661643659929982
13,start,1347,22.271067872791882,3.30079202294656,9.453112165713396
14,start,1347,24.6275806689595,4.769662328686651,9.877305752980558
15,start,1347,24.6275806689595,5.978175978673042,9.772473435966244
16,start,1347,25.36171845026921,7.31080735312604,10.007905911091921
17,start,1347,34.21283457447259,7.979410448895575,9.6702180892796
18,start,1347,34.21283457447259,7.835738521609631,9.971702617821755
19,start,1347,34.21283457447259,7.622818397004091,9.808208235578547
20,start,1347,34.21283457447259,8.397039101022385,10.313747609421577
21,start,1347,34.21283457447259,8.627078631627981,10.304042724239043
22,start,1347,34.21283457447259,7.859871576879623,9.792664387298524
23,start,1347,34.21283457447259,6.10239804827957,10.34041175732754
24,start,1347,34.21283457447259,7.217648499064455,9.776689619165163
25,start,1347,34.21283457447259,8.164343954816147,9.605548709956848
26,start,1347,34.21283457447259,9.140933188988859,9.08718021798798
27,start,1347,34.21283457447259,8.693383578899848,9.454889222747559
28,start,1347,34.21283457447259,7.158240218037739,10.112978332534711
29,start,1347,34.21283457447259,7.727786743804793,9.80283421734167
30,start,1347,34.21283457447259,10.029843755600215,8.53313451318778
31,start,1347,34.21283457447259,10.942648438208302,8.016656607290056
32,start,1347,34.21283457447259,10.06353767142253,8.342020110340476
33,start,1347,34.21283457447259,9.594673473429824,8.854991053986234
34,start,1347,34.21283457447259,8.999459926045379,9.654110877063523
35,start,1347,34.21283457447259,8.304181265698372,9.585484339861386
36,start,1347,34.21283457447259,7.743845941389652,9.550459600085917
37,start,1347,34.21283457447259,7.748351947834468,9.37501698972218
38,start,1347,34.21283457447259,7.5626912866652685,9.0718866050942
39,start,1347,34.21283457447259,8.011992786669555,9.42280251663538
40,start,1347,34.21283457447259,8.436980568241971,9.026845163307168
41,start,1347,34.21283457447259,8.802198466360256,8.977846297025874
42,start,1347,34.21283457447259,8.574614163904062,9.267850387766389
43,start,1347,34.21283457447259,9.5581193303413,9.2360547700784
44,start,1347,34.21283457447259,9.66096726481857,8.762080125514903
45,start,1347,34.21283457447259,10.240297342244666,8.514428713596049
46,start,1347,34.21283457447259,10.71701911822645,8.241259760365384
47,start,1347,34.21283457447259,10.14337779401887,8.769952761734551
48,start,1347,34.21283457447259,10.727773525420224,8.732187546189543
49,start,1347,34.21283457447259,10.940943324332425,8.867579531853407
0,si0,41,28.98968813269277,15.109991984469435,10.646304984111136
0,si1,34,56.82829940258908,18.468595991218425,10.966120981048519
0,si2,14,21.40528862039816,14.066405453550404,10.822355199151575
0,si3,14,21.269900217026425,15.515082509174569,9.479405046447457
1,si0,41,28.98968813269277,16.14217988570686,9.849292919033138
1,si1,34,56.82829940258908,18.842169311316308,10.24296317876205
1,si2,14,21.40528862039816,14.780966503941501,10.369851899795053
1,si3,14,21.292889735251123,17.33047277971787,7.640652353348009
2,si0,41,38.38661578162044,20.136833348745633,7.210064198309528
2,si1,34,65.74233241211736,16.662368443192985,13.15913684709659
2,si2,14,21.40528862039816,14.424790309117768,9.63408019032349
2,si3,14,21.292889735251123,18.0064892222654,8.831123120433622
3,si0,41,39.013547994715566,17.62203787235823,9.886401848738087
3,si1,34,65.74233241211736,19.378914413609024,14.656947020755867
3,si2,14,39.22855887686998,16.5800869155499,10.859248661235894
3,si3,14,21.330119077019482,18.364838077414497,7.536404960214574
4,si0,41,39.013547994715566,16.198903892209106,10.813513930298448
4,si1,34,65.74233241211736,19.469469588122102,16.333772588773993
4,si2,14,39.22855887686998,15.147792924617342,12.150218238920397
4,si3,14,21.330119077019482,19.087895383813205,5.870794303342982
5,si0,41,39.22855887686998,13.319148026742155,11.75124978549161
5,si1,34,65.74233241211736,18.35643556166842,13.100789541737639
5,si2,14,39.22855887686998,18.734949559480157,9.013576146258355
5,si3,14,39.22855887686998,13.657926264751772,12.151773369273517
6,si0,41,39.22855887686998,15.862083366850674,10.166214444572352
6,si1,34,65.74233241211736,19.518347015952685,11.823192471003455
6,si2,14,39.22855887686998,13.32802539106604,12.823809522239102
6,si3,14,39.22855887686998,15.13283937271492,12.16077224761623
7,si0,41,39.22855887686998,18.022789944864734,7.991323984318475
7,si1,34,65.74233241211736,17.372258151446527,12.92161260213408
7,si2,14,39.22855887686998,15.455629778407328,11.384726640603922
7,si3,14,39.22855887686998,16.172440351406365,11.464959160860772
8,si0,41,39.22855887686998,16.20509609430475,10.83939521335699
8,si1,34,65.74233241211736,21.610059139626586,17.374620971292188
8,si2,14,39.22855887686998,17.640871629634912,10.200909187678514
8,si3,14,39.22855887686998,16.916300075875494,10.549633322558131
9,si0,41,39.22855887686998,16.88418608233819,10.269776042384976
9,si1,34,65.74233241211736,18.3067077602905,16.99627289958672
9,si2,14,39.22855887686998,17.253584863329433,10.272703323431363
9,si3,14,39.22855887686998,19.074994883441406,7.358842469300196
10,si0,41,39.22855887686998,15.478612057719511,10.46652663800865
10,si1,34,65.74233241211736,20.24877200416259,15.014054605152847
10,si2,14,39.22855887686998,17.28116417240228,8.844362687049006
10,si3,14,39.22855887686998,15.44808107888137,11.110948428606184
11,si0,41,39.22855887686998,17.98090539477935,10.802593171228496
11,si1,34,65.74233241211736,18.7907306404229,13.373782494348918
11,si2,14,39.22855887686998,20.170722366100495,6.90046047385869
11,si3,14,39.25699681219052,16.867248670710218,11.547763890917036
12,si0,41,39.22855887686998,19.085573425983476,7.333752724913685
12,si1,34,65.74233241211736,20.22323481890931,12.159909119858359
12,si2,14,39.250607014091756,19.42751544401112,9.549352116660735
12,si3,14,39.25699681219052,17.596662989684077,8.865598495809003
13,si0,41,39.22855887686998,16.94518524157494,10.535975673644565
13,si1,34,74.76755198344948,17.535383624647,14.915663564301559
13,si2,14,39.250607014091756,18.671349824710653,10.366398884883397
13,si3,14,39.25699681219052,19.078356078161516,9.272284317835048
14,si0,41,39.22855887686998,16.54940924559668,9.926090377798083
14,si1,34,83.40543794147892,23.180370975272,18.94315126759206
14,si2,14,39.26990021702642,15.787187995012193,11.960250259681303
14,si3,14,39.25699681219052,16.214511284394835,11.425801643960535
